recoil_energy,scintillation_light,ionization_charge,s1_s2_ratio,pulse_shape,position,time_of_event,particle_type
3.316025464321161,2.8059,2.9861,0.9396,0.4844,"{'x': np.float64(1.219864337620045), 'y': np.float64(5.744917099879457), 'z': np.float64(-9.519816904993956)}",2025-10-11T02:44:55.762363,Background
8.690368827670968,10.3747,8.0907,1.2823,0.3893,"{'x': np.float64(-6.260432380324053), 'y': np.float64(2.241003490283857), 'z': np.float64(-6.8237033437589005)}",2025-10-11T02:44:55.762363,WIMP-like
14.03187731355937,15.8865,13.0707,1.2154,0.5554,"{'x': np.float64(4.761470196281154), 'y': np.float64(0.5780056196830952), 'z': np.float64(2.313046297495074)}",2025-10-11T02:44:55.762363,WIMP-like
6.873699926721606,6.4305,5.4105,1.1885,0.5252,"{'x': np.float64(-6.017110651104451), 'y': np.float64(-4.9719584048578085), 'z': np.float64(-6.078751248183618)}",2025-10-11T02:44:55.762363,Axion-like
4.185044667755474,4.3181,2.8878,1.4953,0.55,"{'x': np.float64(2.7885274812377396), 'y': np.float64(-9.653826710887845), 'z': np.float64(8.124854332621723)}",2025-10-11T02:44:55.762363,Background
1.1765542241299525,1.0634,1.1601,0.9167,0.4747,"{'x': np.float64(-7.0651068630979115), 'y': np.float64(4.95986146897447), 'z': np.float64(3.0380749856148874)}",2025-10-11T02:44:55.762363,WIMP-like
6.023427741206831,5.1011,5.9884,0.8518,0.4449,"{'x': np.float64(9.785338582525263), 'y': np.float64(-1.5017346582951525), 'z': np.float64(3.5039976163608806)}",2025-10-11T02:44:55.762363,Axion-like
4.873340599691798,4.2587,3.2219,1.3218,0.36,"{'x': np.float64(-9.539443686427783), 'y': np.float64(-7.093825151734199), 'z': np.float64(0.7912351909732287)}",2025-10-11T02:44:55.762363,Axion-like
6.020775691961082,5.5853,4.5449,1.2289,0.6759,"{'x': np.float64(1.863958820308902), 'y': np.float64(-9.455542312322113), 'z': np.float64(7.64429329844798)}",2025-10-11T02:44:55.762363,Background
1.6539852731724938,1.7524,1.2075,1.4513,0.6711,"{'x': np.float64(-0.2256846712124272), 'y': np.float64(6.274894591205285), 'z': np.float64(-3.9635558443222756)}",2025-10-11T02:44:55.762363,Background
